,winneng team,loosing team
0,RUSSIA,SAUDI ARABIA
1,URUGUAY,EGYPT
2,IR IRAN,MOROCCO
3,PORTUGAL,SPAIN
4,FRANCE,AUSTRALIA
5,ARGENTINA,ICELAND
6,DENMARK,PERU
7,CROATIA,NIGERIA
8,SERBIA,COSTA RICA
9,MEXICO,GERMANY
10,BRAZIL,SWITZERLAND
11,SWEDEN,KOREA REPUBLIC
12,BELGIUM,PANAMA
13,ENGLAND,TUNISIA
14,JAPAN,COLOMBIA
15,SENEGAL,POLAND
16,RUSSIA,EGYPT
17,PORTUGAL,MOROCCO
18,URUGUAY,SAUDI ARABIA
19,SPAIN,IR IRAN
20,DENMARK,AUSTRALIA
21,FRANCE,PERU
22,CROATIA,ARGENTINA
23,BRAZIL,COSTA RICA
24,NIGERIA,ICELAND
25,SWITZERLAND,SERBIA
26,BELGIUM,TUNISIA
27,MEXICO,KOREA REPUBLIC
28,GERMANY,SWEDEN
29,ENGLAND,PANAMA
30,JAPAN,SENEGAL
31,COLOMBIA,POLAND
32,URUGUAY,RUSSIA
33,SAUDI ARABIA,EGYPT
34,IR IRAN,PORTUGAL
35,SPAIN,MOROCCO
36,DENMARK,FRANCE
37,PERU,AUSTRALIA
38,ARGENTINA,NIGERIA
39,CROATIA,ICELAND
40,SWEDEN,MEXICO
41,KOREA REPUBLIC,GERMANY
42,BRAZIL,SERBIA
43,SWITZERLAND     ,COSTA RICA
44,POLAND,JAPAN
45,COLOMBIA,SENEGAL
46,TUNISIA,PANAMA
47,BELGIUM,ENGLAND
48,URUGUAY,PORTUGAL
49,FRANCE,ARGENTINA
50,RUSSIA,SPAIN
51,CROATIA,DENMARK
52,BRAZIL,MEXICO
53,BELGIUM,JAPAN
54,SWEDEN,SWITZERLAND
55,ENGLAND,COLOMBIA
56,FRANCE,URUGUAY
57,BELGIUM,BRAZIL
58,CROATIA,RUSSIA
59,ENGLAND,SWEDEN
60,FRANCE,BELGIUM
61,CROATIA,ENGLAND
62,BELGIUM,ENGLAND
63,CROATIA,FRANCE
